text,effective
b'RT @peddoc63: Have you noticed that everyone who supports abortion has already been born\xf0\x9f\xa4\x94Who said that? https://t.co/rxdgcBPPAz',T,T
b'RT @TheDailyShow: John Kasich makes a compromise on abortion restrictions in Ohio. @michelleisawolf reports: https://t.co/XYaWrFbfKG https:\xe2\x80\xa6',T,T
b'RT @peddoc63: Have you noticed that everyone who supports abortion has already been born\xf0\x9f\xa4\x94Who said that? https://t.co/rxdgcBPPAz',T,T
"b'@MissSloane2 You sound more interested in punishing women, not to mention their unwanted children, than actually stopping abortion.'",F,F
b'Whoopi Goldberg under fire for saying right to celebrate Christmas is like right to abortion | Fox News https://t.co/9cSBIxVkgm',F,F
b'RT @VivaLaAmes: Video: IDIOT Whoopi compares celebrating Christmas to getting an abortion. Why is compost-heap @TheView still on TV?\nhttps:\xe2\x80\xa6',T,T
b'RT @peddoc63: Have you noticed that everyone who supports abortion has already been born\xf0\x9f\xa4\x94Who said that? https://t.co/rxdgcBPPAz',T,T
"b""Similarly, abortion is almost entirely un-bodily for them. It's the potential, the little soul, the idea of a baby. Confront it with a baby""",F,F
b'Abortion Clinic Waste Basket #RejectedPantoneColors',F,F
"b""RT @peddoc63: I'm a doctor. Do you think an abortion is less invasive than a c-section if a mother is dying? This is falsehood by\xe2\x80\xa6 """,T,T
b'The Most Painful And Brutality Process Of Abortion Reveals By A Gynecologist https://t.co/w1aQd8L8g2',F,F
"b""RT @JessicaValenti: Research shows the only time abortion has an impact on women's mental health is when they're denied the procedure. http\xe2\x80\xa6""",T,T
b'RT @BordersUSA: Pro-life Obama signs Ex Order to direct funds to Planned Parenthood for abortion so more innercity babies die unless congre\xe2\x80\xa6',T,T
b'RT @LiveAction: The abortion industry is no friend of women. Workers admit they lie to mothers in order to sell more abortions. https://t.c\xe2\x80\xa6',T,T
b'RT @VivaLaAmes: Video: IDIOT Whoopi compares celebrating Christmas to getting an abortion. Why is compost-heap @TheView still on TV?\nhttps:\xe2\x80\xa6',T,T
"b""I'll never relate to the arrogance of those who demand a say in how others deal with this agonizing process. https://t.co/G7gzkq7B6D""",F,F
"b'Jah looks down on abortion with disgust, its human sacrifice\n\nWhy you falling into the evil plans of yakub?'",F,F
"b'@speechboy71 @GlobeOpinion so important to disrupt the conservative narrative that abortion-seekers are lazy, heartless, slutty. #trustwomen'",F,F
"b""RT @FemMajority: Research shows the only time abortion has an impact on women's mental health is when they're denied the procedure. https:/\xe2\x80\xa6""",T,T
"b""Women who've had late-term abortions explain why Ohio's new law is arbitrary and cruel https://t.co/NZPkCv3ijg via @TheScope""",F,F
"b""We MUST keep abortion legal despite a Trump administration. Add your name to protect the progress we've made: https://t.co/tP206BcmZr""",F,F
b'RT @ladyattis: TFW when ancap morons fail at trolling and also contradict their ideology that supposed supports freedom of associa\xe2\x80\xa6 ',T,T
"b""Ohio's 20-Week Abortion Ban is Pro-Life's 3/5 Compromise \n#ProLife\nhttps://t.co/nC3yKY51iW via @JeffJPetermann https://t.co/xOFFzcYmaD""",F,F
"b""@LisaNani25 even if it's not technically a human yet, I believe the potential squandering happens regardless when abortion happens""",F,F
