text,effective
b'RT @BryanJFischer: Catastrophic global warming hoax alert: Bears to play coldest game in their history Sunday. 1 degree F. https://t.co/Yzi\xe2\x80\xa6',T,T
"b""Harvard Scientists Say 'Chemtrail' Spraying Could Reverse Global Warming Without Damaging ...""",F,F
b'@michaelkeyes Cold now...but when temps rise? \xf0\x9f\x99\x88\xf0\x9f\x99\x8a\xf0\x9f\x90\xb5\xf0\x9f\x99\x89 these global warming idiots will be like...hallelujah Co2 you got us back on message\xf0\x9f\x98\xb1\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbc',F,F
b'Climate change denier who says no one can explain global warming gets completely schooled by someone explaining it https://t.co/xehVKU8mrK',F,F
b'RT @mcnees: The Earth is over 4.5 billion years old.\nhttps://t.co/qwgXvzg8J3 https://t.co/5O8jlrxClA',T,T
"b'@realDonaldTrump bruh, hop on the brain cells train and start believing in the urgency of slowing down global warming'",F,F
"b""RT @NewScienceWrld: Global warming's fingerprints seen in 24 weird weather cases https://t.co/97HAItOhjI https://t.co/lKyNH3IuDQ""",T,T
b'Global warming\xe2\x80\x99s fingerprints seen in 24 weird weather cases \xe2\x80\x93 WTNH Connecticut News (press release) https://t.co/QXkNSCqSZV #wtf #spotlig\xe2\x80\xa6',F,F
b'As predicted. Harvard says emissions could SAVE the Earth. https://t.co/CGHazgeyo7 Saved by chemtrails.',F,F
b'Global warming Huh',F,F
b'@Vote4TrumpPrez Al Gore calls it Global Warming. LOL',F,F
b'Yooooo I thought this was actually Willy Roast when I was reading all those global warming tweets but then I rememb\xe2\x80\xa6 https://t.co/PKiZwYoDP6',F,F
b'@GiaMoore777  Global sea level rise could rise by two metres and the consequences should terrify you - https://t.co/1NnU81sop1',F,F
b'RT @J4LYN: As predicted. Harvard says emissions could SAVE the Earth. https://t.co/CGHazgeyo7 Saved by chemtrails.',T,T
"b""@foxandfriends You need to STOP saying HUMANS, PEOPLE or CITIZENS. It's all obviously racist. Maybe global warming will fix that too.""",F,F
"b""Shouldn't be allowed to go overseas. He spends our on all sorts of things\nGlobal warming just one of them. https://t.co/SldKd1pI9P""",F,F
b'RT @OldDaveClarkson: @MsGraceCollier Turnbull signed us up to the Paris global warming socialist treaty without our permission that is all\xe2\x80\xa6',T,T
"b""RT @BrettFleishman: #keepitintheground if we all do this everywhere we'll be in good shape https://t.co/9mWneO6EaN""",T,T
"b""RT @beeswain: It is currently 17 degrees yet will be almost 60 in 3 days... someone who doesn't believe in global warming PLEASE explain""",T,T
